Name,UK £ TO EURO,JAPANESE YEN TO EURO,SWISS FRANC TO EURO
1990-10-30,1.437690494,0.005705809,0.571689915
1990-10-31,1.434185239,0.005686018,0.57211511
1990-11-01,1.4287143,0.005630631,0.572213321
1990-11-02,1.42718502,0.005666364,0.574250603
1990-11-05,1.42718502,0.005704181,0.576501787
1990-11-06,1.427205389,0.005674403,0.577867668
1990-11-07,1.424927685,0.00565995,0.579844602
1990-11-08,1.426492825,0.005592841,0.578603252
1990-11-09,1.42584196,0.005598164,0.579474996
1990-11-12,1.41719339,0.005601927,0.577700751
1990-11-13,1.416771744,0.00558909,0.576767793
1990-11-14,1.414907465,0.005563901,0.576402098
1990-11-15,1.413088021,0.005585344,0.576867609
1990-11-16,1.413587402,0.005567619,0.577034045
1990-11-19,1.416751672,0.005586904,0.577600647
1990-11-20,1.419647927,0.005597224,0.577467229
1990-11-21,1.416691459,0.005649398,0.578101515
1990-11-22,1.422859663,0.005674081,0.577133953
1990-11-23,1.423365976,0.005684402,0.577167263
1990-11-26,1.42812259,0.00563984,0.574019861
1990-11-27,1.428020621,0.005628729,0.573098745
1990-11-28,1.425171377,0.005580357,0.571755289
1990-11-29,1.426859198,0.005548774,0.571951499
1990-11-30,1.420777449,0.005496317,0.571265353
1990-12-03,1.418198321,0.005468066,0.570157934
1990-12-04,1.416149772,0.005490282,0.571461226
1990-12-05,1.41344754,0.005454645,0.572836112
1990-12-06,1.41177135,0.005496317,0.573756383
1990-12-07,1.411273251,0.005510856,0.573723465
1990-12-10,1.405777747,0.005468665,0.572868928
1990-12-11,1.404376036,0.005471956,0.573295878
1990-12-12,1.40506667,0.005479452,0.573197295
1990-12-13,1.408668949,0.005491488,0.572672088
1990-12-14,1.410079246,0.005489077,0.572016932
1990-12-17,1.407598215,0.005469861,0.57188608
1990-12-18,1.408907111,0.005484561,0.573230152
1990-12-19,1.404001404,0.005418879,0.573131591
1990-12-20,1.40559991,0.005443066,0.572836112
1990-12-21,1.41039745,0.005477651,0.570711106
1990-12-24,1.409006369,0.005537099,0.573526038
1990-12-25,1.409006369,0.005537099,0.573526038
1990-12-26,1.409006369,0.005537099,0.573526038
1990-12-27,1.413088021,0.005488775,0.572704885
1990-12-28,1.410656096,0.00545643,0.572901747
1990-12-31,1.412748644,0.005407451,0.574184658
1991-01-01,1.412748644,0.005407451,0.574184658
1991-01-02,1.415989352,0.005436851,0.578034682
1991-01-03,1.420091454,0.005485764,0.576701269
1991-01-04,1.419547164,0.005467469,0.577500578
1991-01-07,1.423122901,0.005479152,0.576535025
1991-01-08,1.426248681,0.005479152,0.579474996
1991-01-09,1.425110446,0.005505395,0.580181016
1991-01-10,1.424927685,0.005527305,0.581158831
1991-01-11,1.427164652,0.005585344,0.582173837
1991-01-14,1.431618731,0.005578489,0.586407084
1991-01-15,1.433239695,0.00554939,0.583805243
1991-01-16,1.433342411,0.005512071,0.584624379
1991-01-17,1.4278575,0.005552163,0.579710145
1991-01-18,1.425455789,0.005536792,0.580416739
1991-01-21,1.42476527,0.005528527,0.582072177
1991-01-22,1.421989648,0.005538939,0.579979121
1991-01-23,1.422191882,0.005514503,0.579307149
1991-01-24,1.419285248,0.005496922,0.579374276
1991-01-25,1.424055139,0.005499945,0.578101515
1991-01-28,1.425232313,0.005487872,0.576003686
