Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,1.157200,1.157210,1.149800,1.157210,1.157210,0
2019-01-29,1.151100,1.154680,1.148060,1.151280,1.151280,0
2019-01-30,1.143500,1.147320,1.143100,1.143520,1.143520,0
2019-01-31,1.141930,1.147620,1.140400,1.141800,1.141800,0
2019-02-01,1.144800,1.145740,1.137290,1.145030,1.145030,0
2019-02-04,1.141200,1.145690,1.139570,1.141480,1.141480,0
2019-02-05,1.139370,1.142290,1.133500,1.139300,1.139300,0
2019-02-06,1.135580,1.139710,1.135300,1.135450,1.135450,0
2019-02-07,1.137710,1.145290,1.134540,1.137760,1.137760,0
2019-02-08,1.141790,1.143670,1.140870,1.141910,1.141910,0
2019-02-11,1.142300,1.143160,1.139100,1.142270,1.142270,0
2019-02-12,1.140450,1.141720,1.138300,1.140200,1.140200,0
2019-02-13,1.137250,1.143360,1.137100,1.137320,1.137320,0
2019-02-14,1.140960,1.141320,1.131250,1.141200,1.141200,0
2019-02-15,1.132970,1.141200,1.132400,1.132950,1.132950,0
2019-02-18,1.142290,1.143630,1.140400,1.142100,1.142100,0
2019-02-19,1.142280,1.150970,1.141000,1.142370,1.142370,0
2019-02-20,1.151380,1.152250,1.147400,1.151510,1.151510,0
2019-02-21,1.149510,1.153690,1.148700,1.149590,1.149590,0
2019-02-22,1.149600,1.152260,1.145700,1.149700,1.149700,0
2019-02-25,1.151910,1.153420,1.149530,1.151800,1.151800,0
2019-02-26,1.154800,1.167430,1.154700,1.154910,1.154910,0
2019-02-27,1.163680,1.172150,1.163100,1.163450,1.163450,0
2019-02-28,1.170100,1.170460,1.164630,1.170190,1.170190,0
2019-03-01,1.166290,1.166560,1.161200,1.166200,1.166200,0
2019-03-04,1.163640,1.168320,1.163100,1.163630,1.163630,0
2019-03-05,1.162210,1.164570,1.156660,1.162300,1.162300,0
2019-03-06,1.163300,1.164430,1.160200,1.163370,1.163370,0
2019-03-07,1.164800,1.168730,1.159560,1.165010,1.165010,0
2019-03-08,1.168910,1.169650,1.156930,1.168600,1.168600,0
2019-03-11,1.156000,1.166600,1.152500,1.156220,1.156220,0
2019-03-12,1.176390,1.176500,1.155600,1.176350,1.176350,0
2019-03-13,1.157440,1.169730,1.157100,1.157100,1.157100,0
2019-03-14,1.172050,1.176430,1.168080,1.172330,1.172330,0
2019-03-15,1.172280,1.172400,1.166260,1.172320,1.172320,0
2019-03-18,1.174600,1.174600,1.163480,1.174570,1.174570,0
2019-03-19,1.169950,1.171430,1.167010,1.169840,1.169840,0
